id,premises,paragraph,conclusion,question,label,arg,statements,depth
289,"[""One may reasonably assume that if the statement that 'democracy helps people to protect their own fundamental interests' is incorrect, then pluralisms are doctrines."", ""Provided that the statement that 'democracy helps people to protect their own fundamental interests' is incorrect, we know that some people mistakenly believe that pluralisms are doctrines.""]","One may reasonably assume that if the statement that 'democracy helps people to protect their own fundamental interests' is incorrect, then pluralisms are doctrines. Provided that the statement that 'democracy helps people to protect their own fundamental interests' is incorrect, we know that some people mistakenly believe that pluralisms are doctrines.",Those that suggest democracy helps people to protect their own fundamental interests are right.,Those that suggest democracy helps people to protect their own fundamental interests are right.,TRUE,"Reductio Ad Absurdum: 
If (Not [0].), then [1]. 
If (Not [0].), then (Not [1].). 
Therefore, [0].","{0: 'Democracy helps people to protect their own fundamental interests.', 1: 'Pluralisms are doctrines.'}",1
29,"['At least one of two things is true: either basic competency is defined as reading, writing, mathematics, and science or excess prostaglandins make the smooth muscles contract, or either international health means two different, but related, things or statistics show that there are more women in the world than anything else - except insects.', 'The claim that either basic competency is defined as reading, writing, mathematics, and science or excess prostaglandins make the smooth muscles contract has no merit.']","At least one of two things is true: either basic competency is defined as reading, writing, mathematics, and science or excess prostaglandins make the smooth muscles contract, or either international health means two different, but related, things or statistics show that there are more women in the world than anything else - except insects. The claim that either basic competency is defined as reading, writing, mathematics, and science or excess prostaglandins make the smooth muscles contract has no merit.","At least one of two things is true: international health means two different, but related, things, or statistics show that there are more women in the world than anything else - except insects.","It is a fact that either international health means two different , but related , things  or statistics come in many forms and interpretations.",Uncertain,"Disjunctive Syllogism: 
Either (Either [2] or [3].) or (Either [0] or [1].). 
Not (Either [2] or [3].). 
Therefore, Either [0] or [1]..","{0: 'International health means two different, but related, things.', 1: 'Statistics show that there are more women in the world than anything else - except insects.', 2: 'Basic competency is defined as reading, writing, mathematics, and science.', 3: 'Excess prostaglandins make the smooth muscles contract.'}",1
114,"['There is good reason to believe that either nonviolent protest is one way of defending the autonomy of the people or most earwigs have scent glands.', ""The statement 'nonviolent protest is one way of defending the autonomy of the people' can be considered false.""]",There is good reason to believe that either nonviolent protest is one way of defending the autonomy of the people or most earwigs have scent glands. The statement 'nonviolent protest is one way of defending the autonomy of the people' can be considered false.,The claim that most earwigs have scent glands holds true.,Earwigs develop with a gradual metamorphosis from egg to nymph to adult.,Uncertain,"Disjunctive Syllogism: 
Either [1] or [0]. 
Not [1]. 
Therefore, [0].","{0: 'Most earwigs have scent glands.', 1: 'Nonviolent protest is one way of defending the autonomy of the people.'}",1
508,"['On the condition that masters track is a family sport, it is definitely the case that summer is subject to scorching heat while winter can be cold and rainy .', 'Assuming masters track is a family sport, we know that some people mistakenly believe that summer is subject to scorching heat while winter can be cold and rainy .']","On the condition that masters track is a family sport, it is definitely the case that summer is subject to scorching heat while winter can be cold and rainy . Assuming masters track is a family sport, we know that some people mistakenly believe that summer is subject to scorching heat while winter can be cold and rainy .",Those that suggest masters track is a family sport are wrong.,The statement that 'many states grant some level of legal immunity for reporting elder abuse' is incorrect.,Uncertain,"Reductio Ad Absurdum: 
If [0], then [1]. 
If [0], then (Not [1].). 
Therefore, Not [0]..","{0: 'Masters track is a family sport.', 1: 'Summer is subject to scorching heat while winter can be cold and rainy .'}",1
810,"['It is rational to believe that either a hairstreak butterfly is a butterfly or selenium is an element.', 'If a hairstreak butterfly is a butterfly, then hedges are located in backyards.', 'One may reasonably assume that if selenium is an element, then hedges are located in backyards.']","It is rational to believe that either a hairstreak butterfly is a butterfly or selenium is an element. If a hairstreak butterfly is a butterfly, then hedges are located in backyards. One may reasonably assume that if selenium is an element, then hedges are located in backyards.",Those that suggest hedges are located in backyards are right.,It is not the case that hedges are located in backyards.,FALSE,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then [0]. 
If [2], then [0]. 
Therefore, [0].","{0: 'Hedges are located in backyards.', 1: 'A hairstreak butterfly is a butterfly.', 2: 'Selenium is an element.'}",1
972,"['Once we know eastern maples have superior taste, we also know that the statement that states subterranean rivers provide a natural perennial irrigation system is false.', 'The idea that eastern maples have superior taste is true.']","Once we know eastern maples have superior taste, we also know that the statement that states subterranean rivers provide a natural perennial irrigation system is false. The idea that eastern maples have superior taste is true.",The statement that states subterranean rivers provide a natural perennial irrigation system is false.,It is a common misconception that subterranean rivers flow underground in caves or caverns.,Uncertain,"Modus Ponens: 
If [1], then (Not [0].). 
[1] 
Therefore, Not [0]..","{0: 'Subterranean rivers provide a natural perennial irrigation system.', 1: 'Eastern maples have superior taste.'}",1
176,"['Either rays are the main predator of bay scallops  or if phonology is concerned with the sounds of language, then digital duplicators are a convemient, low-cost copying solution.', 'One may reasonably assume that if rays are the main predator of bay scallops , then gorillas are generally herbivores.', 'On the condition that if phonology is concerned with the sounds of language, then digital duplicators are a convemient, low-cost copying solution, it is definitely the case that gorillas are generally herbivores.']","Either rays are the main predator of bay scallops  or if phonology is concerned with the sounds of language, then digital duplicators are a convemient, low-cost copying solution. One may reasonably assume that if rays are the main predator of bay scallops , then gorillas are generally herbivores. On the condition that if phonology is concerned with the sounds of language, then digital duplicators are a convemient, low-cost copying solution, it is definitely the case that gorillas are generally herbivores.",It is a simple truth that gorillas are generally herbivores.,It is a simple truth that gorillas are generally herbivores.,TRUE,"Disjunction Elimination: 
Either [1] or (If [2], then [3].). 
If [1], then [0]. 
If (If [2], then [3].), then [0]. 
Therefore, [0].","{0: 'Gorillas are generally herbivores.', 1: 'Rays are the main predator of bay scallops .', 2: 'Phonology is concerned with the sounds of language.', 3: 'Digital duplicators are a convemient, low-cost copying solution.'}",1
168,"['It is rational to believe that either body temperature follows a circadian rhythm or recent evidence suggests that adult vertebrate brains generate new neurons.', 'The claim that body temperature follows a circadian rhythm has no merit.']",It is rational to believe that either body temperature follows a circadian rhythm or recent evidence suggests that adult vertebrate brains generate new neurons. The claim that body temperature follows a circadian rhythm has no merit.,It is fair to say that recent evidence suggests that adult vertebrate brains generate new neurons.,It is a common misconception that recent evidence suggests that adult vertebrate brains generate new neurons.,FALSE,"Disjunctive Syllogism: 
Either [1] or [0]. 
Not [1]. 
Therefore, [0].","{0: 'Recent evidence suggests that adult vertebrate brains generate new neurons.', 1: 'Body temperature follows a circadian rhythm.'}",1
347,"['Provided that it is not the case that light travels at different speeds through different media, we know that urinary obstruction is fairly common in cats.', 'Once we know it is not the case that light travels at different speeds through different media, we also know that the statement that states urinary obstruction is fairly common in cats is false.']","Provided that it is not the case that light travels at different speeds through different media, we know that urinary obstruction is fairly common in cats. Once we know it is not the case that light travels at different speeds through different media, we also know that the statement that states urinary obstruction is fairly common in cats is false.",It is a simple truth that light travels at different speeds through different media.,It is a simple truth that light travels at different speeds through different media.,TRUE,"Reductio Ad Absurdum: 
If (Not [0].), then [1]. 
If (Not [0].), then (Not [1].). 
Therefore, [0].","{0: 'Light travels at different speeds through different media.', 1: 'Urinary obstruction is fairly common in cats.'}",1
376,"['There is good reason to believe that either a feature is a dimension or exposure therapy is the most common method used to treat phobias.', ""Whenever it is true that a feature is a dimension, 'cramps are uterine contractions that are stimulated by chemicals called prostaglandins' is true."", 'One may reasonably assume that if exposure therapy is the most common method used to treat phobias, then cramps are uterine contractions that are stimulated by chemicals called prostaglandins.']","There is good reason to believe that either a feature is a dimension or exposure therapy is the most common method used to treat phobias. Whenever it is true that a feature is a dimension, 'cramps are uterine contractions that are stimulated by chemicals called prostaglandins' is true. One may reasonably assume that if exposure therapy is the most common method used to treat phobias, then cramps are uterine contractions that are stimulated by chemicals called prostaglandins.",It is true that cramps are uterine contractions that are stimulated by chemicals called prostaglandins.,The claim that cramps are uterine contractions that are stimulated by chemicals called prostaglandins has no merit.,FALSE,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then [0]. 
If [2], then [0]. 
Therefore, [0].","{0: 'Cramps are uterine contractions that are stimulated by chemicals called prostaglandins.', 1: 'A feature is a dimension.', 2: 'Exposure therapy is the most common method used to treat phobias.'}",1
